-750461.936611613,345.289241814801
-659812.048335371,
-701512.727459509,
-731400.300037522,
-824570.333757375,
-699012.546169621,
-720247.146655413,
-749587.354946429,
-721575.278151795,
-667019.636462432,
-667732.301838121,
-647248.797755788,
-525303.672085502,
-669698.767203194,
-632880.376241079,
-617208.357750593,
-644666.432461351,
-613542.006124773,
-734738.189741312,
-629036.950087532,
-510854.532442843,
-648937.938275944,
-595289.408973241,
-655047.336027363,
-515418.96089771,
-498196.204632816,
-429618.065307846,
-591519.809589115,
-636581.058691479,
-581410.926090607,
-447851.212587258,
-477818.736577167,
-522554.412351671,
-491516.093495076,
-485508.714829173,
-665393.765637095,
-533475.883928877,
-635317.283444295,
-524780.102103122,
-459429.492572203,
-411804.782963549,
-526100.383376643,
-441727.699749283,
-475122.243945794,
-466860.41478671,
-399425.034514379,
-550155.740383408,
-467934.297036108,
-391375.196787405,
-483222.887301509,
-283205.513964978,
-449208.987315597,
-429057.415893726,
-346365.830479248,
-326079.176691543,
-503768.968745657,
-337543.907039427,
-323195.556409143,
-409891.850502849,
-359114.763262941,
-322332.52831627,
-353417.386470351,
-260186.833580423,
-346783.858011584,
-292629.706204085,
-368765.492530027,
-379133.723464275,
-403057.032167554,
-366629.136035815,
-302966.390833004,
-266629.513736691,
-341890.156282284,
-365947.279958256,
-264051.35781462,
-283101.231207694,
-300422.30252319,
-274000.792045643,
-302374.234189829,
-363588.288334262,
-343694.511865101,
-293945.540069466,
-289750.322437789,
-210027.104131753,
-379985.948523113,
-345827.760536957,
-316524.573758487,
-258216.856574173,
-242463.677429697,
-282870.625850007,
-247786.280757244,
-348449.808751774,
-244239.475236402,
-142438.623088701,
-229031.319785948,
-311649.896292201,
-210666.429924141,
-279130.137443031,
-293863.160577819,
-232243.756411488,
-203207.596770087,
-223458.429060318,
-241245.506605981,
-236225.071215138,
-238777.066715739,
-179156.973424302,
-263151.764815989,
-257098.256962328,
-197851.629538068,
-195992.215921194,
-180976.452245484,
-219679.682364194,
-143083.928571335,
-144106.516507478,
-158226.705227353,
-147624.69665621,
-183422.914855315,
-189545.815049132,
-148867.261696515,
-184946.681665909,
-169029.062937289,
-162920.507497518,
-130599.138984255,
-197306.548190436,
-263268.358922589,
-205693.353535387,
-127469.571393881,
-194420.499686161,
-141742.690702637,
-241246.584661708,
-145843.125199755,
-131507.826706193,
-109064.980553517,
-94625.1000192542,
-129880.878547668,
-149157.306767999,
-141695.878778606,
-136208.655161596,
-134840.626963274,
-98449.4307756543,
-57516.2645087746,
-192159.990658939,
-134558.161454861,
-167900.65566885,
-183381.064353754,
-142199.283997119,
-157385.67035111,
-120150.339509819,
-122965.591781909,
-215920.55066873,
-135313.833016498,
-124112.291411022,
-91541.0322021424,
-113776.172109541,
-111515.154447557,
-103291.625102505,
-120298.961749234,
-110883.6811201,
-104866.208802991,
-112656.328631933,
-108343.262681267,
-77531.8977124094,
-146491.126946925,
-118703.736895325,
-127290.337868156,
-85895.3386318459,
-110950.54435833,
-135784.616476526,
-108384.030957739,
-102595.095556523,
-95949.8477854043,
-69417.7165323706,
-78834.7034223576,
-113323.749351269,
-134808.115511053,
-84575.1302280919,
-118312.728430509,
-96488.8933544795,
-69398.6413177195,
-104708.536976703,
-125669.739062716,
-128281.715320252,
-59558.1158886743,
-72873.1369390451,
-48670.2061409025,
-76621.2827137305,
-80962.742598578,
-83842.1159793242,
-70443.2170319479,
-70731.959511058,
-79297.5691925384,
-164315.337754916,
-96073.3327218629,
-86445.9234803869,
-68246.260098994,
-129265.819195505,
-86863.4222402814,
-70353.3639161565,
-68698.4433837614,
-74390.2246430416,
-74658.3564447198,
-63900.4556098932,
-98476.2710178059,
-83328.2970823863,
-78419.7230754138,
-67445.0235808733,
-58793.3715297543,
-41063.5414170002,
-39565.3441985467,
-44764.8670247722,
-45912.6237623405,
-58234.9781578609,
-102346.537265583,
-54459.7750437555,
-32419.9880597378,
-91262.4399433836,
-88807.7284932725,
-51745.2681192691,
-71918.6744738733,
-70611.7128381195,
-54298.043618602,
-21500.0700993172,
-32779.0719204277,
-67350.4839142066,
-45415.4330561714,
-91574.8270077732,
-20663.9384624652,
-61774.8870537926,
-59761.8595585997,
-53264.5666899477,
-39756.3050682061,
-21903.2397377482,
-46464.6240715644,
-36801.7180496572,
-30059.0374723491,
-34433.0195118893,
-96191.5717911896,
-27346.3037738941,
-39601.3055827908,
-38235.1556256963,
-60500.7918183574,
-30633.0158027479,
-69464.5728969952,
-42575.8142284142,
-21297.6215814862,
-59246.6406532654,
-30976.6459962861,
-47905.8629053933,
-23908.4459149047,
-46629.1088422985,
-31957.1239044216,
-56426.0486817797,
-28083.5811299239,
-40961.5309845048,
-15443.417385142,
-30231.6578063925,
-36933.0400291125,
-47088.7922405904,
-29014.936269896,
-24792.7079441934,
-14892.7082028749,
-32917.1361735325,
-41390.5392854343,
-23126.068183143,
-57329.5560909547,
-27715.5557376517,
-21201.9696509513,
-32951.7247209725,
-27102.5356606103,
-43473.4055349736,
-17069.3828201723,
-21730.7137058306,
-20581.0084145322,
-30652.9606246847,
-38550.8234116191,
-14063.9465432648,
-49899.2181754804,
-34220.5360241498,
-15353.019561266,
-2588.63456146028,
-18562.6635133829,
-19176.5854543244,
-26872.3986975388,
-28800.923794994,
-37143.0296814354,
-23741.3448376854,
-21062.8877121217,
-20499.1273840521,
-26712.8035718832,
-22518.5588907287,
-36753.5851966349,
-37002.4946362909,
-21283.80489421,
-20286.3677666532,
-14891.6982828277,
-10029.6371817074,
-18922.2158449807,
-18622.2906839287,
